name,genre,director,country,year,rating
«Спартак». Действующие лица и… болельщики,"документальный, спорт","Илья Гутман, Иосиф Пастернак",СССР,1985,No_IMDB_link
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,No_IMDB_link
? (фильм),драма,Ханун Брамантйо,Индонезия,2011,6.9
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984,3.8
…которого любили все,"документально, биографический фильм",Леонид Осыка,СССР,1982,7.2
"«Москвич», любовь моя",драма,Арам Шахбазян,"Армения, Франция, Россия",2015,7.9
«SOS» над тайгой,"драма, приключения",Аркадий Кольцатый,СССР,1976,5.3
(Не)бывшие,"драма, мелодрама",Стефан Бризе,Франция,2023,6.4
(Не)идеальные роботы,"романтическая комедия, научно-фантастический фильм","Энтони Хайнс, Каспер Кристенсен",США,2023,5.5
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017,No_IMDB_link
(Почти) пять Докторов: Перезагрузка,"комедийный фильм, кинопародия",Питер Дэвисон,Великобритания,YEAR,8.5
0-41*,"документальный, драма, комедия",Сенна Хегде,Индия,2016,8.9
1 (документальный фильм),документальный,Пол Краудер,США,2013,7.9
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,5.3
1 миля до тебя,"драма, мелодрама",Лейф Тильден,США,2017,6.3
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
1+1 (фильм),"комедийная драма, бадди-муви","Оливье Накаш, Эрик Толедано",Франция,2011,8.5
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017,7.1
2 дня в Париже,"комедия, драма, мелодрама",Жюли Дельпи,"Франция, Германия",2007,6.7
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,3.2
2 секунды,комедия,Манон Брайан,Канада,1998,6.6
13 друзей хунты,документальный,Director,Россия,2014,No_IMDB_link
2 Girls 1 Cup,"порнофильм, ЛГБТ-фильм",Марко Фиорито,Бразилия,2007,4.1
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.6
2:22,триллер,Пол Карри,"США, Австралия",2017,5.7
2:37,драма,Мулари К. Теллури,Австралия,2006,6.8
2+1,"драма, семейный, Музыка к фильму",Юго Желен,"Франция, Великобритания",2016,7.3
2pac: Легенда,"байопик, драма, боевик",Бенни Бум,США,2017,5.9
3 гигантских человека,супергеройский фильм,Tevfik Fikret Uçak,Country,YEAR,4.0
3 идиота,"комедия, драма",Раджкумар Хирани,Индия,2009,8.4
"3 идиота (фильм, 2017)","комедия, семейный фильм",Карлос Боладо,Мексика,2017,4.4
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,4.6
3: История Дейла Эрнхардта,"биографическая, спортивная, драма",Рассел Малкэхи,США,YEAR,6.8
4 (фильм),драма,Илья Хржановский,"Россия, Нидерланды",2004,6.5
4 американских композитора,"документальный, музыкальный",Питер Гринуэй,Великобритания,1983,7.3
4 дня в мае,"военная, драма, боевик",Ахим фон Боррис,"Германия, Украина, Россия",2011,6.4
4 листа фанеры,детектив,"Иван Гаврилюк, Сайдо Курбанов",Украина,1992,5.4
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,7.8
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007,7.9
4 x 4 (фильм),"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара","Финляндия, Норвегия, Швеция, Дания",1965,6.7
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,6.9
4:44. Последний день на Земле,"драма, фантастика",Абель Феррара,США,2011,4.7
4.3.2.1,"триллер, электро-хаус, соул, R’n’B, хип-хоп, грайм",Ноэль Кларк,Великобритания,2010,5.8
5 дней в августе,"военный, боевик",Ренни Харлин,"США, Грузия",2011,5.6
5 недель (фильм),трагикомедия,Александр Андреев,Россия,2021,4.7
5 неизвестных,триллер,Симон Бранд,США,2006,6.4
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди","Израиль, ПНА, Франция, Нидерланды",2011,7.9
"5 сантиметров в секунду (фильм, 2025)",Genre,Ёсиюки Окуяма,Япония,2025,7.3
5 терапия,"драма, триллер, биография",Алиса Павловская,Украина,2017,7.3
5-я волна,"постапокалиптика, научная фантастика",Дж. Блэйксон,США,2016,5.2
5×2,"мелодрама, драма",Франсуа Озон,Франция,2004,6.6
6 дней,"боевик, триллер",Тоа Фрейзер,"Великобритания, Новая Зеландия",2017,6.2
6-й день,"фантастика, триллер",Роджер Споттисвуд,США,2000,5.9
7 главных желаний,"комедия, мелодрама",Вадим Соколовский,Россия,2013,1.5
7 дней в Сирии,документальный фильм,Роберт Риппбергер,США,2015,7.3
7 дней до смерти,"драма, фильм ужасов, триллер",Себастьян Ниман,"США, Германия, Чехия",2000,5.1
7 дней и ночей с Мэрилин,"драма, биография",Саймон Кёртис,Великобритания,2011,6.9
"7 дней, 7 ночей (фильм, 2024)",семейный фильм,Айк Кбеян,Россия,2024,6.2
7 женщин,драма,Джон Форд,США,1966,6.7
7 секунд (фильм),боевик,Саймон Феллоуз,"США, Румыния, Швейцария, Великобритания",2005,4.8
7 ящиков,"триллер, криминал","Хуан Карлос Манелья, Тана Шембори",Парагвай,2012,7.1
07-й меняет курс,"боевик, драма",Владимир Потапов,Россия,2007,5.6
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,"Великобритания, США",2012,7.8
007: Спектр,шпионский фильм,Сэм Мендес,"Великобритания, США",2015,6.8
7:35 утра,"короткометражный, музыкальный",Начо Вигалондо,"Испания, 1",2003,7.3
8 (фильм),драма,Хулио Медем,Испания,2025,5.6
8 ½ $,криминальная комедия,Григорий Константинопольский,Россия,1999,6.3
8 женщин (фильм),"мюзикл, комедия, детектив",Франсуа Озон,"Франция, Италия",2002,7.0
8 лучших свиданий,"комедия, мелодрама",Марюс Вайсберг,"Россия, Украина",2016,3.9
8 миллиметров,"триллер, криминал",Джоэл Шумахер,"США, Германия",1999,6.6
8 первых свиданий,"мелодрама, комедия",Дэвид Додсон,"Россия, Украина",2012,6.0
8 подруг Оушена,"кинокомедия, криминальный фильм",Гэри Росс,США,2018,6.3
8 свиданий,Романтическая кинокомедия,"Перис Романо, Родриго Сорогойен",Испания,2008,6.0
8-битное Рождество,комедия,Майкл Даус,США,2021,6.7
9 апреля (фильм),"Военный, драма",Рони Эзра,Country,2015,6.6
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003,7.2
9 мая. Личное отношение,Телеальманах,"Авдотья Смирнова, Александр Котт, Владимир Котт, Евгений Лаврентьев, Карен Оганесян, Максим Пежемский, Егор Кончаловский, Василий Чигинский",Россия,YEAR,6.4
9 мёртвых геев,"драма, комедия",Лаб Ки Мо,Великобритания,2002,6.2
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция,2013,6.4
9 песен,"драма, мелодрама, музыкальный фильм, эротика",Майкл Уинтерботтом,Великобритания,2004,4.8
9 рота (фильм),"военно, исторический, боевик, драма",Фёдор Бондарчук,"Россия, Украина",2005,7.0
9 секунд,"биография, драма",Олег Штром,Россия,2024,4.6
9 смертей ниндзя,боевик,Эмметт Олстон,США,1985,3.9
"9/11 (фильм, 2017)","драма, фильм-катастрофа",Мартин Гиги,США,2017,4.5
10 000 лет до нашей эры,приключенческий боевик,Роланд Эммерих,"ЮАР, США",2008,5.1
10 лет спустя,"романтическая, комедийная драма",Джеми Линден,США,2011,6.1
10 миль в час,Документальное кино,Хантер Уикс,США,2007,6.5
10 на 10,психологический триллер,Сьюзи Юинг,"Великобритания, США",2018,5.2
10 причин моей ненависти,"подростковая, романтическая комедия",Джил Джангер,США,1999,7.4
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006,6.5
11 сентября (фильм),"драма, исторический, киноальманах","Самира Махмальбаф, Клод Лелуш, Юсеф Шахин, Данис Танович, Идрисса Уэдраого, Кен Лоуч, Алехандро Гонсалес Инарриту, Амос Гитай, Мира Наир, Шон Пенн, Сёхэй Имамура","Иран, Франция, Египет, Босния и Герцеговина, Буркина-Фасо, Великобритания, Мексика, Израиль, Индия, США, Япония",2002,6.8
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,"США, Испания",2011,3.9
11:14,"триллер, детектив, криминал, чёрная комедия",Грег Маркс,"США, Канада",2003,7.1
11.6,"драма, Саундтрек",Филипп Годо,Франция,2013,5.7
12 (фильм),"психологический, триллер, юридический, детектив, драма",Никита Михалков,Россия,2007,7.5
12 дней страха,"ужасы, триллер, драма",Джек Шолдер,ЮАР,2004,5.5
12 лет рабства,"историческая, драма",Стив Маккуин,"Великобритания, США",2013,8.1
"12 месяцев (фильм, 2013)","романтическая, фэнтезийная комедия",Александр Баршак,Россия,2013,4.2
12 месяцев. Новая сказка,"фильм-сказка, комедия, мелодрама, семейный фильм",Денис Елеонский,Россия,2015,5.0
12 могил Ходжи Насреддина,"комедия, сказка",Климентий Минц,СССР,1966,5.4
12 обезьян (фильм),"фантастика, триллер, драма, антиутопия",Терри Гиллиам,США,1995,8.0
"12 разгневанных мужчин (фильм, 1957)",драма,Сидни Люмет,США,1957,9.0
"12 разгневанных мужчин (фильм, 1997)",процессуальная драма,Уильям Фридкин,США,YEAR,7.8
12 раундов,"боевик, триллер, криминал",Ренни Харлин,США,2009,5.6
12 раундов: Перезагрузка,"боевик, триллер",Роэль Рейн,США,2013,5.3
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966,6.9
"12 стульев (фильм, 1971)",комедия,Леонид Гайдай,СССР,1971,8.2
"12 стульев (фильм, 1976)","комедия, мюзикл, мелодрама",Марк Захаров,СССР,YEAR,8.2
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006,7.3
13 грехов,"триллер, фильм ужасов",Даниэль Штамм,США,2014,6.3
13 дней во Франции,"документальный фильм, спортивный фильм","Клод Лелуш, Франсуа Рейшенбах",Франция,1968,6.6
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022,4.4
13 призраков,фильм ужасов,Уильям Касл,США,1960,6.1
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938,6.9
13 убийц,боевик,Такаси Миикэ,Япония,2010,7.5
13 часов: Тайные солдаты Бенгази,"военный, драма, триллер",Майкл Бэй,США,2016,7.3
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988,5.7
13-й знак,Ужасы,"Джонти Эктон, Адам Мэйсон",Великобритания,2000,3.0
13-й район,боевик,Пьер Морель,Франция,2004,7.1
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция, Канада, США",2014,5.6
13-й район: Ультиматум,боевик,"Патрик Алессандрен, фр.",Франция,2009,6.5
13-й участок,"криминальный фильм, драма, экранизация",Мартин Фрич,Чехословакия,1946,6.9
13-я жертва,ужасы,Мэл Хаус,США,2008,2.3
14 амазонок,"приключенческий фильм, драма, военный фильм","Чэн Ган, Дун Шаоюн",Гонконг,1972,6.6
14 июля (фильм),комедия,Рене Клер,Франция,1933,6.9
14 клинков,"боевик, триллер",Дэниел Ли,"Гонконг, Китай",2010,6.3
14+,мелодрама,Андрей Зайцев,Россия,2015,6.9
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023,3.5
15 августа (фильм),комедия,Патрик Алессандрен,Франция,2001,5.6
15 минут славы,"Криминальная драма, боевик",Джон Херцфелд,США,2001,6.1
16 желаний,"подростковая, фэнтезийная комедия",Питер Делуиз,США,YEAR,5.5
16 кварталов,"криминальный фильм, драма, триллер",Ричард Доннер,США,2006,6.6
17 девушек (фильм),драма,Дельфин Кулин,Франция,2011,6.0
18 бронзовых бойцов,"боевик, драма",Джозеф Го,"Гонконг, Китайская Республика",YEAR,6.3
18 килогерц,драма,Фархат Шарипов,Казахстан,2020,6.7
"18 мая (фильм, 2007)",боевик,Ким Джи Хун,Республика Корея,2007,6.9
18-14,"исторический, детектив, приключение",Андрес Пуустусмаа,Россия,2007,6.0
18-летняя девственница,комедия,Тамара Олсон,США,2008,2.9
20 000 дней на Земле,"документальный, музыкальный","Айан Форсайт, Джейн Поллард",Великобритания,2014,7.4
20 000 лет в Синг-Синге,Криминальная мелодрама,Майкл Кёртис,США,1932,6.8
"20 000 лье под водой (фильм, 1916)",фантастика,Стюарт Патон,США,1916,6.1
"20 000 лье под водой (фильм, 1954)","драма, стимпанк, приключенческий фильм",Ричард Флейшер,США,1954,7.2
"20 000 лье под водой (фильм, 1997)","приключенческий фильм, научная фантастика",Род Харди,США,1997,5.7
20 декабря (телефильм),исторический фильм,Григорий Никулин,СССР,YEAR,6.6
20 дней в Мариуполе,"документальный фильм, военный фильм",Мстислав Чернов,Украина,2023,8.6
20 миллионов миль до Земли,"научно-фантастический фильм, фильм о монстрах, фильм-катастрофа, приключения, фэнтези, фильм-триллер, фильм ужасов, научно-фантастический фильм ужасов",Натан Юран,"США, Италия, ФРГ",1957,6.3
20 сантиметров,"комедия, мюзикл",Рамон Саласар,"Испания, Франция",2005,6.6
20 сигарет,"драма, комедия",Александр Горновский,Россия,2007,5.3
20 тысяч разновидностей пчёл,"драма, ЛГБТ-фильм",Эстибалис Урресола,Испания,2023,7.0
21 грамм,драма,Алехандро Гонсалес Иньярриту,США,2003,7.6
21 и больше,комедия,Джон Лукас,США,2013,5.8
21 мост,"драма, триллер, детектив",Брайан Кирк,США,2019,6.7
21 ночь с Патти,комедия,"Арно Ларье, Жан-Мари Ларье",Франция,2015,6.2
22 июля (фильм),Драма,Пол Гринграсс,США,2018,6.8
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992,6.0
22 мили,"боевик, триллер",Питер Берг,США,2018,6.1
22 минуты,боевик,Василий Сериков,Россия,2014,5.3
22 пули: Бессмертный,"триллер, детектив",Ришар Берри,Франция,2010,6.6
23 (фильм),"триллер, драма",Ганс-Христиан Шмидт,Германия,1998,7.2
24 кадра,драма,Аббас Киаростами,"Иран, Франция",2017,6.8
24 недели,драма,Анна Зора Берашед,Германия,2016,7.1
"24 часа (фильм, 2000)","боевик, драма",Александр Атанесян,Россия,2000,6.0
"24 часа (фильм, 2002)",триллер,Луис Мандоки,"США, Германия",2002,6.1
"24 часа из жизни женщины (фильм, 1952)",экранизация литературного произведения,Виктор Сэвилл,Великобритания,1952,5.1
"24 часа из жизни женщины (фильм, 1999)",комедия,Нэнси Савока,США,1999,5.3
24 часа откровенного секса,"порнофильм, сексплуатационный фильм",Жозе Можика Маринш,Бразилия,1985,6.5
24 часа: Искупление,"боевик, драма, Музыка к фильму",Джон Кассар,США,YEAR,7.4
24-25 не возвращается,"детективный фильм, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968,6.0
25 ватт,Комедийная драма,Хуан Пабло Ребелья,Уругвай,2001,7.1
25-й час,"криминальный фильм, драма",Спайк Ли,США,2002,7.6
27 свадеб,романтическая комедия,Энн Флетчер,США,2008,6.1
27 секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019,6.8
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000,6.6
27-й день,научная фантастика,Уильям Эшер,США,1957,6.1
28 дней,"драма, комедия",Бетти Томас,США,2000,6.1
28 дней спустя,"постапокалиптический, фильм ужасов, Музыка к фильму",Дэнни Бойл,Великобритания,2002,7.5
28 лет спустя,"постапокалиптический, фильм ужасов",Дэнни Бойл,"Великобритания, США",2025,6.6
28 лет спустя: Храм костей,"постапокалиптический, фильм ужасов",Ниа Дакоста,"Великобритания, США",2026,7.7
28 недель спустя,"постапокалиптический, фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания",2007,6.8
29 километр (фильм),"драма, музыкальный фильм",Леонид Андронов,Россия,2012,8.7
"29 пальм (фильм, 2003)","драма, роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003,5.1
"29-я улица (фильм, 1991)","комедия, драма",Джордж Галло,США,1991,7.2
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018,6.9
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006,5.5
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007,6.6
30 дней ночи: Тёмные времена,"триллер, фильм ужасов",Бен Кетай,США,2010,4.3
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, фильм ужасов",Крэйг Мосс,США,2012,2.6
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016,5.0
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009,6.3
31 (фильм),Фильм ужасов,Роб Зомби,США,2016,5.1
31 июня (фильм),"музыкальный фильм, мюзикл, фэнтези",Леонид Квинихидзе,СССР,YEAR,7.2
31-й километр,"ужасы, мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006,5.3
32 декабря (фильм),"комедия, фантастика, мелодрама",Александр Муратов,Россия,2004,4.9
32-е августа на Земле,"драма, мелодрама",Дени Вильнёв,Канада,1998,6.4
33 (фильм),драма,Патрисия Ригген,"США, Чили, Колумбия",2015,6.9
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981,6.2
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977,5.0
38-я параллель (фильм),"драма, боевик, военный",Кан Джегю,Республика Корея,2004,8.0
